,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
25742,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",146,10,7,7.963636363636364,1,0,0.7518333333333334,0.24816666666666667
25743,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",147,9,7,7.945945945945946,1,0,0.6224999999999999,0.3775
25753,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,1,78,10,0.14285714285714285,0,1,0.39,0.61
25769,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,9,67,10,1.0188679245283019,0,1,0.36,0.64
25794,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,52,43,9,4.0519480519480515,0,1,0.49683333333333335,0.5031666666666667
25845,Sunrisers Hyderabad,Mumbai Indians,Mumbai - Wankhede Stadium,5,101,9,1.5789473684210527,1,0,0.65,0.35
26207,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,1,117,10,2.0,0,1,0.1825,0.8175
26220,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,16,38,9,1.1707317073170733,0,1,0.32,0.68
26235,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,33,23,9,2.0412371134020617,0,1,0.16,0.84
26236,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,35,22,9,2.142857142857143,0,1,0.04,0.96
26452,Chennai Super Kings,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,0,79,10,0.0,0,1,0.077,0.9229999999999999
26454,Chennai Super Kings,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,1,76,10,0.13636363636363638,0,1,0.1338095238095238,0.8661904761904762
